42,158,42754,0
44,162,42754,0
3,9,5195,2.08530082091e-10
5,13,5195,6.21760420927e-11
35,88,30264,0
35,89,30264,0
35,91,30264,0
35,92,30264,0
37,100,30264,0
37,101,30264,0
39,105,30264,0
20,46,18020,1.39772637908e-11
24,58,18020,3.40560912804e-12
22,52,20646,9.82605108391e-11
22,53,20646,4.97557550716e-11
23,56,20646,0
0,2,672,6.40909547656e-12
0,3,672,0
47,170,47285,4.4408920985e-16
1,6,3975,1.66714864136e-10
3,10,3975,2.2535218136e-10
5,13,3975,9.87654402707e-12
31,79,27163,0
13,31,13487,0
14,32,13487,0
11,152,40602,2.72848410532e-12
11,154,40602,0
7,17,8302,7.96518406787e-12
7,18,8302,0
7,17,8247,3.93640675611e-12
7,19,8247,0
9,22,8247,0
7,18,8084,3.90087961932e-12
7,19,8084,5.13011855219e-12
2,7,4676,5.13546538627e-10
4,12,4676,0
5,13,4676,0
10,25,10576,0
10,27,10576,8.97060203897e-13
10,24,10852,0
10,27,10852,2.92743607133e-12
11,28,10852,1.7359447213e-12
37,99,31731,0
37,100,31731,2.94164692605e-12
38,102,31731,9.85594938996e-12
10,143,33566,1.84412485282e-11
10,144,33566,0
10,145,33566,0
16,135,33566,0
16,137,33566,1.9007373453e-10
47,170,46768,36.4353913827
47,171,46768,36.4353913827
16,134,34999,0
16,136,34999,4.84856599314e-11
16,139,34999,0
33,85,34999,0
4,11,36339,3.25361959597e-12
4,12,36339,8.59912141493e-12
40,147,36339,0
11,28,6534,2.40385489292e-12
45,163,44638,5.73585623442e-12
45,164,44638,0
46,165,44638,7.09121650289e-12
46,166,44638,5.73052716391e-12
46,167,44638,3.40794059639e-12
42,157,42023,0
43,159,42023,0
43,160,42023,4.45155023954e-12
11,154,38548,3.16191517413e-13
11,154,38685,8.62865334739e-13
45,164,43903,0
46,165,43903,1.44062539675e-11
46,167,43903,7.48157091834e-12
46,169,43903,8.05755462352e-12
1,6,3794,3.70062203103e-10
2,7,3794,4.23441726127e-10
4,12,3794,1.37742262041e-10
22,53,33064,0
22,109,33064,2.98872038229e-12
22,111,33064,0
22,115,33064,1.04543040891e-11
22,117,33064,1.24020793635e-11
22,123,33064,7.32969240858e-12
22,133,33064,0
7,19,7841,0
35,90,30797,2.94715363225e-11
35,91,30797,1.02104991129e-11
37,97,30797,2.40163444687e-12
37,99,30797,0
37,100,30797,1.57829305181e-12
14,95,30956,3.64650531992e-11
39,103,30956,0
45,164,43417,0
46,165,43417,1.41966438605e-11
1,5,3449,4.90008034149e-12
1,6,3449,1.2829515228e-11
2,7,3449,1.4669598869e-11
2,8,3449,3.65352192944e-12
11,29,9528,2.11608508494e-13
47,171,47101,6.66133814775e-16
4,12,38277,0
11,28,8282,4.41069403223e-12
10,24,10658,2.32702745961e-13
10,25,10658,2.80664380625e-13
6,14,5614,0
6,15,5614,7.70217223334e-14
6,16,5614,0
21,22,19714,6.15818507299e-12
21,48,19714,6.32962571245e-11
21,50,19714,2.46913600677e-13
21,51,19714,1.54951607101e-11
22,52,19714,0
22,53,19714,0
22,54,19714,0
22,55,19714,0
24,58,19714,0
42,158,43296,0
43,159,43296,0
44,161,43296,0
27,71,25245,0
28,73,25245,2.62323496258e-12
9,21,9898,0
9,23,9898,7.00328683934e-13
11,29,9898,6.25277607469e-13
10,140,35991,6.52122800204e-12
10,141,35991,0
2,174,49945,0
2,175,49945,0
49,183,49945,3.53495011041e-13
21,48,19530,0
22,53,19530,8.72368843829e-11
22,55,19530,1.41504807871e-10
23,56,19530,0
0,150,40708,0
0,151,40708,0
2,173,49633,0
2,174,49633,0
49,183,49633,0
2,174,50299,0
40,176,50299,6.79456491071e-13
40,177,50299,6.75015598972e-14
40,178,50299,0
40,179,50299,0
40,180,50299,6.35935748505e-13
37,97,32110,0
37,100,32110,0
39,103,32110,0
39,104,32110,5.50464118731e-11
44,162,42645,0
1,4,2225,1.57463375672e-10
2,7,2225,2.51687559683e-10
2,8,2225,1.39086964168e-10
3,9,2225,1.9703705334e-10
40,178,50446,0
40,180,50446,2.31814567542e-12
40,181,50446,9.7788444009e-13
41,155,41763,0
41,156,41763,0
43,160,41763,0
2,68,22992,1.50129908505e-12
2,69,22992,0
21,60,22992,0
2,174,49281,0
49,183,49281,2.27373675443e-13
42,157,41164,0
4,11,36710,0
4,12,36710,0
17,36,16168,2.84217094105e-14
7,19,8610,0
9,22,8610,1.46904710618e-12
9,23,8610,2.0694557179e-13
47,171,46217,1.7763568394e-15
34,87,28672,2.31248353799e-12
35,88,28672,0
35,89,28672,0
35,90,28672,2.18047802036e-13
35,92,28672,0
6,149,38962,1.96820337806e-12
11,152,38962,1.072919531e-12
30,76,22277,0
30,77,22277,0
1,5,1810,1.91135995919e-11
1,6,1810,3.54543061576e-11
3,10,1810,4.79871697934e-11
4,11,1810,7.17941261996e-11
4,12,1810,7.84903253503e-11
42,157,42767,0
1,4,2977,9.68638502741e-11
1,5,2977,9.17328435435e-11
5,13,2977,3.93356458517e-11
35,88,30060,0
35,89,30060,0
35,90,30060,1.25908172777e-11
35,91,30060,0
35,92,30060,0
36,93,30060,0
39,103,30060,0
2,7,4689,6.2352345509e-11
3,9,4689,4.82156536918e-11
4,11,4689,1.83008275201e-10
4,12,4689,1.84668724756e-10
12,30,12071,7.84927679399e-14
13,31,12071,6.72795153796e-14
47,171,47093,2.22044604925e-15
34,87,29154,2.41318076633e-12
37,97,29154,0
37,99,29154,0
37,101,29154,0
21,49,20363,6.43396447231e-11
21,50,20363,0
21,51,20363,0
24,58,20363,0
25,59,20363,0
2,175,49745,0
40,176,49745,3.45323769579e-12
40,177,49745,0
40,179,49745,0
40,180,49745,3.00559577227e-12
0,1,40462,0
0,151,40462,0
11,152,40462,8.08686451137e-13
11,153,40462,0
20,44,18731,1.38753897261e-10
21,49,18731,1.12621023618e-11
16,35,13754,0
6,148,38925,9.89430759546e-13
6,149,38925,1.69819713847e-12
16,35,16599,36.4353913827
17,36,16599,36.4353913827
10,24,10389,0
10,26,10389,0
10,27,10389,2.3128166049e-12
11,28,10389,1.54809498554e-12
29,75,21860,1.01585406753e-12
22,55,33128,0
22,113,33128,1.22657439761e-11
22,115,33128,3.48032713759e-12
22,127,33128,6.07364158967e-12
40,177,50676,0
40,178,50676,0
40,180,50676,4.39037695088e-13
40,181,50676,2.660094367e-13
49,182,50676,0
49,183,50676,2.02809991023e-13
20,44,19047,0
16,35,16039,36.4353913827
17,36,16039,36.4353913827
40,177,50509,0
40,180,50509,3.15303338994e-12
4,11,38089,3.57891494218e-12
4,12,38089,9.4588781252e-12
40,147,38089,0
12,30,11625,36.4353913827
13,31,11625,36.4353913827
14,32,11625,36.4353913827
14,95,31968,3.95772303818e-12
37,97,31968,0
37,98,31968,0
37,101,31968,0
2,173,48025,0
7,18,8246,0
7,19,8246,8.52651282912e-13
9,22,8246,8.62243609845e-12
7,19,8020,0
11,28,8020,3.45190542816e-12
11,29,8020,0
16,35,14749,0
7,17,8371,3.85647069834e-12
7,19,8371,0
11,28,8371,1.90070181816e-13
7,17,7672,5.79625236696e-12
7,18,7672,0
20,45,18730,4.85700368813e-12
25,59,18730,0
42,157,43219,0
44,161,43219,1.16013865181e-11
44,162,43219,0
31,79,25646,0
1,4,2058,4.69224659128e-11
1,5,2058,4.4437564739e-11
2,8,2058,4.34003943894e-11
5,13,2058,2.74500422393e-11
10,25,5917,0
10,26,5917,0
10,27,5917,5.54223333893e-12
12,34,13720,36.4353913827
16,35,13720,36.4353913827
0,150,39583,0
6,149,39583,1.48503431774e-12
39,103,30965,0
6,15,5720,3.41060513165e-13
11,28,5720,2.74891220897e-13
4,11,36576,0
21,22,20156,8.7192475462e-12
21,47,20156,9.9934283071e-11
21,48,20156,7.82085507467e-11
21,51,20156,3.0217606195e-11
23,57,20156,0
14,94,30882,0
35,88,30882,0
35,89,30882,2.71143107966e-11
35,91,30882,3.69304586911e-11
9,22,8408,8.26361201689e-12
21,47,17803,3.8989256268e-11
21,50,17803,0
0,0,742,2.47801779096e-12
0,3,742,0
13,31,12832,0
15,33,12832,0
0,1,38934,3.63264973657e-13
0,150,38934,0
0,151,38934,4.79616346638e-14
21,60,22641,0
29,75,22641,4.8331338931e-12
30,78,22641,0
